smiles,molecule_chembl_id,pref_name,ic50_nM,pIC50
O=C1CSC(N/N=C/c2cccc([N+](=O)[O-])c2)=N1,CHEMBL591050,,37640.0,4.4243503852447805
COc1cccc(/C=N/NC2=NC(=O)CS2)c1,CHEMBL592141,,45510.0,4.341893164493607
O=C1CSC(NN=C2CCCCCC2)=N1,CHEMBL589165,,47000.0,4.327902142064283
O=C1CSC(NN=C2CCC2)=N1,CHEMBL591052,,50000.0,4.301029995663981
O=C1CSC(NN=C2CCCC2)=N1,CHEMBL591000,,50000.0,4.301029995663981
O=C1CSC(NN=C2CCCCC2)=N1,CHEMBL591053,,50000.0,4.301029995663981
CCCCN(Cc1cccc(Cl)c1O)C(=O)Nc1ccccc1,CHEMBL591706,,50000.0,4.301029995663981
Cc1cc(C)c(O)c(CN(Cc2ccc(O)cc2)C(=O)Nc2ccccc2)c1,CHEMBL589068,,16120.0,4.792634962530928
O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cc(Br)cc(Br)c1O,CHEMBL601828,,4500.0,5.346787486224656
O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cc(Cl)cc(Cl)c1O,CHEMBL590526,,2210.0,5.655607726314889
Cc1cccc(CN(Cc2ccc(O)cc2)C(=O)Nc2ccccc2)c1O,CHEMBL590525,,18430.0,4.734474664780926
O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cccc(Br)c1O,CHEMBL590714,,2660.0,5.575118363368933
O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cccc(Cl)c1O,CHEMBL592211,,2270.0,5.6439741428068775
Cc1cc(C)c(O)c(CN(Cc2ccc(F)cc2)C(=O)Nc2ccccc2)c1,CHEMBL592210,,50000.0,4.301029995663981
O=C(Nc1ccccc1)N(Cc1ccc(F)cc1)Cc1cc(Br)cc(Br)c1O,CHEMBL603186,,12420.0,4.905878404159439
O=C(Nc1ccccc1)N(Cc1ccc(F)cc1)Cc1cc(Cl)cc(Cl)c1O,CHEMBL589809,,9640.0,5.015922966097169
Cc1cccc(CN(Cc2ccc(F)cc2)C(=O)Nc2ccccc2)c1O,CHEMBL600048,,38230.0,4.4175957019809715
O=C(Nc1ccccc1)N(Cc1ccc(F)cc1)Cc1cccc(Br)c1O,CHEMBL592427,,5170.0,5.286509456906058
O=C(Nc1ccccc1)N(Cc1ccc(F)cc1)Cc1cccc(Cl)c1O,CHEMBL592426,,3450.0,5.462180904926726
CCCCN(Cc1cccc(Br)c1O)C(=O)Nc1ccccc1,CHEMBL590962,,50000.0,4.301029995663981
CCCCN(Cc1cccc(C)c1O)C(=O)Nc1ccccc1,CHEMBL591707,,50000.0,4.301029995663981
CCCCN(Cc1cc(Cl)cc(Cl)c1O)C(=O)Nc1ccccc1,CHEMBL591708,,50000.0,4.301029995663981
CCCCN(Cc1cc(Br)cc(Br)c1O)C(=O)Nc1ccccc1,CHEMBL590759,,50000.0,4.301029995663981
CCCCN(Cc1cc(C)cc(C)c1O)C(=O)Nc1ccccc1,CHEMBL590997,,50000.0,4.301029995663981
Oc1c(Cl)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,CHEMBL589560,,1410.0,5.85078088734462
Oc1c(Br)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,CHEMBL589561,,1870.0,5.728158393463501
Cc1cccc(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1O,CHEMBL589801,,15660.0,4.805208242278075
Oc1c(Cl)cc(Cl)cc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,CHEMBL592200,,6490.0,5.187755303199631
Oc1c(Br)cc(Br)cc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,CHEMBL592201,,6730.0,5.171984935776023
Cc1cc(C)c(O)c(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1,CHEMBL592224,,37820.0,4.422278475490979
Oc1ccc(CN(Cc2cccc(Cl)c2O)C(=S)Nc2ccccc2)cc1,CHEMBL592466,,350.0,6.455931955649724
Oc1ccc(CN(Cc2cccc(Br)c2O)C(=S)Nc2ccccc2)cc1,CHEMBL604042,,660.0,6.180456064458132
Cc1cccc(CN(Cc2ccc(O)cc2)C(=S)Nc2ccccc2)c1O,CHEMBL604785,,7130.0,5.146910470148135
Oc1ccc(CN(Cc2cc(Cl)cc(Cl)c2O)C(=S)Nc2ccccc2)cc1,CHEMBL591288,,1230.0,5.910094888560602
Oc1ccc(CN(Cc2cc(Br)cc(Br)c2O)C(=S)Nc2ccccc2)cc1,CHEMBL592004,,2240.0,5.649751981665837
Cc1cc(C)c(O)c(CN(Cc2ccc(O)cc2)C(=S)Nc2ccccc2)c1,CHEMBL592247,,9470.0,5.023650020996727
CCCCN(Cc1cccc(Cl)c1O)C(=S)Nc1ccccc1,CHEMBL589413,,32540.0,4.48758245139916
CCCCN(Cc1cccc(Br)c1O)C(=S)Nc1ccccc1,CHEMBL606027,,39510.0,4.403292970318554
CCCCN(Cc1cccc(C)c1O)C(=S)Nc1ccccc1,CHEMBL591437,,50000.0,4.301029995663981
CCCCN(Cc1cc(Cl)cc(Cl)c1O)C(=S)Nc1ccccc1,CHEMBL591440,,39780.0,4.400335221211583
CCCCN(Cc1cc(Br)cc(Br)c1O)C(=S)Nc1ccccc1,CHEMBL589590,,50000.0,4.301029995663981
Cc1cc(C)c(O)c(CN(Cc2ccccc2)C(=S)Nc2ccccc2)c1,CHEMBL589365,,50000.0,4.301029995663981
COCCCN1CCC([C@H]2CC[C@H](n3nc(-c4ccc5nc(Cc6ccccc6Cl)[nH]c5c4)c4c(N)ncnc43)CC2)CC1,CHEMBL2374457,,54.0,7.267606240177032
COc1ccccc1Cc1nc2ccc(-c3nn([C@H]4CC[C@H](C5CCN(C)CC5)CC4)c4ncnc(N)c34)cc2[nH]1,CHEMBL2374458,,54.0,7.267606240177032
CCN(CC)CCNC(=O)c1[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C,CHEMBL1087368,,7.0,8.154901959985743
Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,CHEMBL1081849,,2240.0,5.649751981665837
Cc1c(C(=O)NCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,CHEMBL1082012,,843.0,6.074172425375258
Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,CHEMBL1080506,,4.0,8.397940008672037
Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,CHEMBL1080812,,5000.0,5.301029995663981
CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,CHEMBL1080990,,934.0,6.029653123769907
CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,CHEMBL1080271,,3840.0,5.4156687756324695
O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,CHEMBL1080272,,620.0,6.2076083105017466
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,1520.0,5.818156412055227
COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,CHEMBL1087421,,10000.0,5.0
COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,CHEMBL1088633,,10000.0,5.0
Nc1nc2ccc(-c3c(-c4cccc(NC(=O)c5ccccc5Cl)c4)nc4sccn34)cc2[nH]1,CHEMBL1093486,,12500.0,4.903089986991944
O=C(Nc1cccc(-c2nc3sccn3c2-c2ccncc2)c1)c1ccccc1Cl,CHEMBL1091613,,240.0,6.619788758288394
O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1Cl,CHEMBL1093815,,35.0,7.455931955649724
O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1,CHEMBL1093234,,6.3,8.200659450546418
O=[N+]([O-])c1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1,CHEMBL1093235,,6000.0,5.221848749616356
O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1ccccc1,CHEMBL1090350,,4.8,8.318758762624412
O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1c(F)cccc1F,CHEMBL1090351,,86.0,7.0655015487564325
O=C(CC1CCCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,CHEMBL1090352,,1400.0,5.853871964321762
O=C(CC1CCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,CHEMBL1090353,,1300.0,5.886056647693163
