smiles,dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
C(C(C(C(C(F)(F)S(=O)(=O)Cl)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID90315130,423-60-9,Perfluoro-1-octanesulfonyl chloride,112,1.318676748005454e-15,poly1,0.7755397352445266
C(C(C(C(F)(F)I)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,DTXSID7047566,355-43-1,Perfluoro-1-iodohexane,112,1.6058917328350894e-15,poly1,0.7755397352445266
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)Br)(F)F)(F)F)(F)F,DTXSID9059919,375-88-2,1-Bromopentadecafluoroheptane,112,0.0,exp4,0.7755397352445266
C1=CSC(=C1)C(=O)CC(=O)C(C(C(F)(F)F)(F)F)(F)F,DTXSID7060332,559-94-4,(Perfluorobutyryl)-2-thenoylmethane,112,0.0018579682674021488,poly1,0.7755397352445266
C(C(C(C(C(F)(F)S(=O)(=O)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID5027140,307-35-7,Perfluorooctanesulfonyl fluoride,112,2.1440570537493686e-12,pow,0.7755397352445266
C=CC(=O)OCC(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID00194615,4180-26-1,"1H,1H,9H-Perfluorononyl acrylate",112,2.059267739274384e-15,poly1,0.7755397352445266
CCO[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCC)OCC,DTXSID1074915,51851-37-7,Triethoxy((perfluorohexyl)ethyl)silane,112,0.0,hill,0.7755397352445266
CC(C)(C)C(=O)CC(=O)C(C(C(F)(F)F)(F)F)(F)F,DTXSID3066215,17587-22-3,(Heptafluorobutanoyl)pivaloylmethane,112,7.726804595640967e-14,poly1,0.7755397352445266
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N,DTXSID60195123,423-54-1,Perfluorooctanamide,112,0.016703438046727272,poly1,0.7755397352445266
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID0059794,307-34-6,Perfluorooctane,112,2.8000782786118207e-16,poly1,0.7755397352445266
