dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
DTXSID20874028,914637-49-3,"2H,2H,3H,3H-Perfluorooctanoic acid",115,5.2110877022786454e-14,poly1,0.8553064962601256
DTXSID8031863,375-95-1,Perfluorononanoic acid,115,1.5102843175589642e-14,poly1,0.8553064962601256
DTXSID50892417,679-12-9,4H-Perfluorobutanoic acid,115,6.029150103002157e-17,poly1,0.8553064962601256
DTXSID0059879,355-80-6,"1H,1H,5H-Perfluoropentanol",115,5.940481159371531e-13,poly1,0.8553064962601256
DTXSID30378880,74427-22-8,"2,2-Difluoroethyl triflate",115,4.825375576027554e-13,poly1,0.8553064962601256
DTXSID7047566,355-43-1,Perfluoro-1-iodohexane,115,1.2138480310387777e-11,poly1,0.8553064962601256
DTXSID8044969,63863-43-4,Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),115,7.600894402161936e-12,poly1,0.8553064962601256
DTXSID50382621,25600-66-2,7:3 Fluorotelomer alcohol,115,9.217118057517035e-07,poly1,0.8553064962601256
DTXSID8059970,422-64-0,Perfluoropropanoic acid,115,1.600918757703036e-11,poly1,0.8553064962601256
DTXSID1062122,2043-47-2,4:2 Fluorotelomer alcohol,115,5.444064817130365e-14,poly1,0.8553064962601256
DTXSID3031860,335-76-2,Perfluorodecanoic acid,115,1.6301313295915992e-09,poly1,0.8553064962601256
DTXSID5027140,307-35-7,Perfluorooctanesulfonyl fluoride,115,3.3085576471938167e-13,poly1,0.8553064962601256
DTXSID70276659,65294-16-8,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid",115,1.0173572552900815e-14,poly1,0.8553064962601256
DTXSID7074616,21652-58-4,"1H,1H,2H-Perfluoro-1-decene",115,1.612486388900301e-10,poly1,0.8553064962601256
DTXSID00442840,329710-76-1,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,115,1.266211962587571e-11,poly1,0.8553064962601256
DTXSID70880134,374-40-3,1-Pentafluoroethylethanol,115,4.7813993552734214e-11,poly1,0.8553064962601256
DTXSID0060985,678-77-3,Hexafluoroglutaryl chloride,115,9.906577944540919e-16,poly1,0.8553064962601256
DTXSID1032646,4151-50-2,N-Ethylperfluorooctane sulfonamide,115,3.1778405248838915e-07,poly1,0.8553064962601256
DTXSID50375114,330562-41-9,"Perfluoro-3,6,9-trioxatridecanoic acid",115,0.0,none,0.8553064962601256
DTXSID30382063,151772-58-6,"Perfluoro-3,6-dioxaheptanoic acid",115,1.7163642372330164e-16,poly1,0.8553064962601256
DTXSID00892442,13252-14-7,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",115,1.4818276700640841e-08,poly1,0.8553064962601256
DTXSID9059919,375-88-2,1-Bromopentadecafluoroheptane,115,1.0772562201975058e-11,poly1,0.8553064962601256
DTXSID1074915,51851-37-7,Triethoxy((perfluorohexyl)ethyl)silane,115,1.3815133817049193e-08,pow,0.8553064962601256
DTXSID7060332,559-94-4,(Perfluorobutyryl)-2-thenoylmethane,115,5.458082473600099e-06,poly1,0.8553064962601256
DTXSID40108559,62037-80-3,Ammonium perfluoro-2-methyl-3-oxahexanoate,115,0.0,exp4,0.8553064962601256
DTXSID9038840,17527-29-6,(Perfluorohexyl)ethyl acrylate,115,9.602372984263374e-15,poly1,0.8553064962601256
DTXSID8059920,375-92-8,Perfluoroheptanesulfonic acid,115,5.51478622507281e-08,poly1,0.8553064962601256
DTXSID20881338,132182-92-4,3-Methoxyperfluoro(2-methylpentane),115,1.8072213175583061e-09,poly1,0.8553064962601256
DTXSID3021641,112-05-0,Nonanoic acid,115,1.3085859062981987e-08,poly1,0.8553064962601256
DTXSID2021600,111-14-8,Heptanoic acid,115,3.0461072471225746e-07,poly1,0.8553064962601256
DTXSID3021645,124-07-2,Octanoic acid,115,5.412308547958005e-10,poly1,0.8553064962601256
DTXSID9021554,334-48-5,Decanoic acid,115,9.290228665552256e-09,poly1,0.8553064962601256
DTXSID5061954,1765-48-6,11-H-Perfluoroundecanoic acid,115,1.6189207960932326e-08,poly1,0.8553064962601256
DTXSID00380798,330562-44-2,"1H,1H,11H,11H-Perfluorotetraethylene glycol",115,1.598074268121513e-08,poly1,0.8553064962601256
DTXSID20880144,663-35-4,Ethyl pentafluoropropionyl acetate,115,9.799849876391565e-08,poly1,0.8553064962601256
DTXSID00223797,73609-36-6,Dichloromethyl((perfluorohexyl)ethyl)silane,115,1.0040010953728313e-07,poly1,0.8553064962601256
DTXSID5060986,678-95-5,"1H,1H,5H,5H-Perfluoro-1,5-pentanediol diacrylate",115,1.3856851841908316e-09,poly1,0.8553064962601256
DTXSID40235137,85857-17-6,Dimethoxymethyl((perfluorohexyl)ethyl)silane,115,2.3533059923013325e-11,poly1,0.8553064962601256
DTXSID00379884,54009-81-3,"3-(Perfluoro-3-methylbutyl)-1,2-propenoxide",115,0.0,exp4,0.8553064962601256
DTXSID10224331,7383-71-3,"2,2,3,3-Tetrafluoropropyl acrylate",115,4.017610646195959e-12,poly1,0.8553064962601256
DTXSID10379254,1765-92-0,"1H,1H-Heptafluorobutyl epoxide",115,0.0,exp4,0.8553064962601256
DTXSID8059928,377-38-8,Perfluorobutanedioic acid,115,3.294068288622268e-17,poly1,0.8553064962601256
DTXSID90880156,2043-52-9,"1-Iodo-1H,1H,2H,2H-perfluorononane",115,3.707644220204059e-13,poly1,0.8553064962601256
DTXSID20440585,133331-77-8,1-(Perfluorohexyl)octane,115,1.8170190033741195e-11,poly1,0.8553064962601256
DTXSID1068772,52591-27-2,2-(Perfluorobutyl)ethyl acrylate,115,2.3868854199840766e-07,poly1,0.8553064962601256
DTXSID30340244,424-16-8,"1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate",115,7.232576123293486e-17,exp4,0.8553064962601256
DTXSID40379666,53296-64-3,N-Methyl-N-trimethylsilylheptafluorobutyramide,115,1.8718040890832476e-13,poly1,0.8553064962601256
DTXSID30396867,90177-96-1,"1H,1H,8H,8H-Perfluorooctane-1,8-diol",115,4.226125426493719e-10,poly1,0.8553064962601256
DTXSID5063235,3934-23-4,(Perfluoroheptyl)methyl methacrylate,115,5.32653185820833e-11,poly1,0.8553064962601256
DTXSID50369896,754-96-1,"1H,1H,10H,10H-Perfluorodecane-1,10-diol",115,0.0,exp4,0.8553064962601256
DTXSID70537191,568550-25-4,Methyl 3H-perfluoroisopropyl ether,115,6.8796210960684065e-15,poly1,0.8553064962601256
DTXSID70379295,77953-71-0,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",115,5.136765676605287e-11,pow,0.8553064962601256
